time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.396428166898852907e-02
1.009209875456456296e-01,-2.396441997056389731e-02,4.458635199390151987e-02,-5.082455281418564175e-01,9.493422039961161296e-01,0.000000000000000000e+00,2.777164454277605277e-01
2.018419750912912591e-01,-1.034236620145961710e-01,1.948315854391887980e-01,-1.064456113936459669e+00,2.037812057435837598e+00,0.000000000000000000e+00,3.482789586357569744e-01
3.027629626369369165e-01,-2.257415811580084086e-01,4.348499899848938255e-01,-1.293903891345033363e+00,2.618636956146351391e+00,0.000000000000000000e+00,3.092256380957340012e-01
4.036839501825825183e-01,-3.409757709186454488e-01,6.831120029492172563e-01,-8.979693246495101810e-01,2.154992152577385855e+00,0.000000000000000000e+00,1.857817185056528098e-01
5.046049377282281201e-01,-3.851782775068271492e-01,8.305710449229306569e-01,9.810429634878578553e-02,6.375071396839755433e-01,0.000000000000000000e+00,1.221379881527843644e-03
6.055259252738738329e-01,-3.092552046964983092e-01,7.847963514298152976e-01,1.457675147974988095e+00,-1.657107546178657520e+00,0.000000000000000000e+00,-1.944730079912512788e-01
7.064469128195194347e-01,-9.174329259546323834e-02,4.854696450804558139e-01,2.869310211075201789e+00,-4.348119027188973362e+00,0.000000000000000000e+00,-3.606271069238836668e-01
8.073679003651650365e-01,2.483160645583497306e-01,-6.723456201824495881e-02,3.773606486693929618e+00,-6.471932512690203865e+00,0.000000000000000000e+00,-4.387144343338894581e-01
9.082888879108106384e-01,6.175633595311827984e-01,-7.362624157389682233e-01,3.355889060122305256e+00,-6.497325463869692008e+00,0.000000000000000000e+00,-3.957524390946072224e-01
1.009209875456456240e+00,8.784605968043064372e-01,-1.304275223853782917e+00,1.717206424000768061e+00,-4.658918549280979704e+00,0.000000000000000000e+00,-2.585209485110362415e-01
1.110130863002101842e+00,9.432093692298870735e-01,-1.642509837980261622e+00,-4.686794144645881621e-01,-2.015363304255123111e+00,0.000000000000000000e+00,-1.019962837434532921e-01
1.211051850547747666e+00,7.828755709561631138e-01,-1.692213916920732419e+00,-2.711383662831476915e+00,1.087321647892861121e+00,0.000000000000000000e+00,5.460627476587197326e-02
1.311972838093393268e+00,4.131847394258685302e-01,-1.414435892826524821e+00,-4.591587073789034079e+00,4.503439011996778873e+00,0.000000000000000000e+00,2.067078533830085663e-01
1.412893825639038869e+00,-1.140633026523111687e-01,-7.915631897395226657e-01,-5.829968325064031731e+00,7.882451463686953375e+00,0.000000000000000000e+00,3.365252815626473826e-01
1.513814813184684471e+00,-7.151755571384694754e-01,1.101224253903268085e-01,-5.893952992976656091e+00,9.634214168111885357e+00,0.000000000000000000e+00,4.182383067883234662e-01
1.614735800730330073e+00,-1.225662118951801105e+00,1.019199761547399774e+00,-4.048757743331773185e+00,8.130848314366021512e+00,0.000000000000000000e+00,3.422362117695205153e-01
1.715656788275975675e+00,-1.495918699494845905e+00,1.701991864076533245e+00,-1.282547136116068520e+00,5.468652911854940513e+00,0.000000000000000000e+00,2.375239353584895352e-01
1.816577775821621277e+00,-1.474420452217628963e+00,2.102735743819660108e+00,1.724672373056618691e+00,2.474164809298952772e+00,0.000000000000000000e+00,1.322730454524939370e-01
1.917498763367266879e+00,-1.154424183195496667e+00,2.179535335610016222e+00,4.620690159232288430e+00,-1.025700574723075631e+00,0.000000000000000000e+00,2.612840441555349877e-02
2.018419750912912480e+00,-5.734561751548492570e-01,1.885348443243235028e+00,6.810854018498132767e+00,-4.874793508242364126e+00,0.000000000000000000e+00,-7.747529691404526908e-02
2.119340738458558082e+00,1.606830560141796482e-01,1.215973952371665279e+00,7.632697061684036832e+00,-8.366122077951789748e+00,0.000000000000000000e+00,-1.656884916045198441e-01
2.220261726004203684e+00,9.111622671263969186e-01,2.648993204008023294e-01,7.155461222567806701e+00,-1.022307323109453847e+01,0.000000000000000000e+00,-2.975909126741203004e-01
2.321182713549849286e+00,1.545562156422893851e+00,-7.327135114901803803e-01,5.337585460975148521e+00,-9.356743540163037665e+00,0.000000000000000000e+00,-4.003274906144054235e-01
2.422103701095495332e+00,1.956015165911651366e+00,-1.574810179615778516e+00,2.814723257216739327e+00,-7.466740607154469522e+00,0.000000000000000000e+00,-3.402886504803122047e-01
2.523024688641140933e+00,2.099237241004739740e+00,-2.221362501262841072e+00,2.306776910504732686e-02,-5.417984883532768414e+00,0.000000000000000000e+00,-2.387915755904842230e-01
2.623945676186786535e+00,1.959083668006422307e+00,-2.641736992373652892e+00,-2.822508149383354148e+00,-2.879468954338055831e+00,0.000000000000000000e+00,-1.392998200682338816e-01
2.724866663732432137e+00,1.534120596718827167e+00,-2.773059135462769387e+00,-5.683672716212514686e+00,3.720722729685266850e-01,0.000000000000000000e+00,-3.596671334924553265e-02
2.825787651278077739e+00,8.299574340169920683e-01,-2.548998532436522524e+00,-8.261916894453113613e+00,4.153751813480093702e+00,0.000000000000000000e+00,6.197738502060436833e-02
